id,name,scene_1_name,pano360_url_1,scene_2_name,pano360_url_2,scene_3_name,pano360_url_3,scene_4_name,pano360_url_4,scene_5_name,pano360_url_5,scene_6_name,pano360_url_6,scene_7_name,pano360_url_7,ghi_chu
mc00,Địa phận Bản Lác 2,,https://23000908-cell.github.io/3Dvistar_premium/#scene=Ban%20Lat,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_03,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_04,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_05,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_11,,,,,
mc01,Hoa Ban Lalastay,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_18,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_17,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_15,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_16,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_13,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_14,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_01,
mc02,Mai Châu Farmstay,,https://23000908-cell.github.io/3Dvistar_premium/#scene=ML_16,,https://23000908-cell.github.io/3Dvistar_premium/#scene=ML_15,,https://23000908-cell.github.io/3Dvistar_premium/#scene=ML_17,,,,,,,,,
mc03,Mai Châu Village View Homestay,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BN_4,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BN_5,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BN_6,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BN_8,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BN_7,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BN_9,,,
MS,Mông Space,,https://23000908-cell.github.io/3Dvistar_premium/#scene=Mong%20space,,https://23000908-cell.github.io/3Dvistar_premium/#scene=MS_1,,https://23000908-cell.github.io/3Dvistar_premium/#scene=MS_3,,https://23000908-cell.github.io/3Dvistar_premium/#scene=MS_4,,https://23000908-cell.github.io/3Dvistar_premium/#scene=MS_2,,https://23000908-cell.github.io/3Dvistar_premium/#scene=MS_5,,,
ML,Mông Lềnh Space,,https://23000908-cell.github.io/3Dvistar_premium/#scene=Mong%20Lenh%20,,https://23000908-cell.github.io/3Dvistar_premium/#scene=ML_1,,https://23000908-cell.github.io/3Dvistar_premium/#scene=ML_2,,https://23000908-cell.github.io/3Dvistar_premium/#scene=MS_6,,,,,,,
pc03,Homestay Y Múa,,https://23000908-cell.github.io/3Dvistar_premium/#scene=ML_13,,https://23000908-cell.github.io/3Dvistar_premium/#scene=ML_14,,,,,,,,,,,
HLM,Mai Châu Homestay (Highland Homestay),,,https://23000908-cell.github.io/3Dvistar_premium/#scene=HLM_1,,https://23000908-cell.github.io/3Dvistar_premium/#scene=Highlandmong,,https://23000908-cell.github.io/3Dvistar_premium/#scene=HLM_02,,https://23000908-cell.github.io/3Dvistar_premium/#scene=HLM_03,,,,,,,
pc05,A Dơ Homestay,,https://23000908-cell.github.io/3Dvistar_premium/#scene=HS_1,,https://23000908-cell.github.io/3Dvistar_premium/#scene=HS_1.2,,https://23000908-cell.github.io/3Dvistar_premium/#scene=HS_1.3,,https://23000908-cell.github.io/3Dvistar_premium/#scene=HS_1.1,,,,,,,
pc06,Homestay Vườn Đào Hang Kia,,https://23000908-cell.github.io/3Dvistar_premium/#scene=HS_2,,https://23000908-cell.github.io/3Dvistar_premium/#scene=HS_2.1,,https://23000908-cell.github.io/3Dvistar_premium/#scene=HS_2.2,,,,,,,,,
pc07,Homestay A Thống,,,,,,,,,,,,,,,
pc08,Yến Tuyền homestay,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_05,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_06,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_07,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_08,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_09,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_10,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_12,
pc09,Đức Ngọc homestay,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_26,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_27,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BL_25,,,,,,,,,
BN,địa phận bản nhót,,https://23000908-cell.github.io/3Dvistar_premium/#scene=Ban%20Nhot,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BN_3,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BN_1,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BN_10,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BN_11,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BN_12,,https://23000908-cell.github.io/3Dvistar_premium/#scene=BN_13,
